(609,249)
(622,246)
(634,245)
(588,178)
(574,245)
(578,248)
(591,245)
(604,245)
(573,176)
(564,177)
(567,245)
(550,247)
(563,245)
(572,245)
(558,173)
(543,176)
(532,176)
(536,245)
(527,247)
(540,245)
(546,243)
(533,172)
(517,175)
(506,175)
(491,246)
(491,249)
(506,247)
(514,244)
(503,173)
(489,173)
(476,175)
(465,246)
(477,243)
(472,173)
(458,174)
(444,175)
(451,244)
(438,246)
(452,245)
(447,172)
(433,174)
(416,174)
(412,246)
(422,243)
(419,171)
(405,174)
(390,173)
(383,176)
(394,242)
(393,171)
(379,173)
(364,172)
(357,174)
(357,240)
(355,244)
(364,171)
(351,174)
(339,174)
(298,178)
(332,243)
(336,171)
(332,171)
(298,178)
(296,242)
(302,245)
(305,242)
(286,173)
(272,174)
(250,175)
(248,175)
(281,245)
(280,170)
(266,173)
(251,173)
(242,174)
(235,239)
(236,245)
(250,170)
(236,172)
(220,172)
(214,174)
(208,241)
(210,245)
(225,244)
(221,170)
(206,172)
(190,172)
(199,243)
(181,244)
(195,243)
(187,171)
(172,173)
(159,173)
(157,247)
(171,241)
(159,170)
(144,173)
(132,174)
(122,245)
(135,246)
(130,170)
(115,174)
(102,174)
(109,242)
(96,244)
(109,243)
(116,241)
(101,172)
(88,174)
(74,243)
(86,241)
(84,170)
(20,182)
(84,168)
(19,173)
(17,171)
(18,182)
(17,196)
(87,162)
(19,160)
(67,140)
(15,139)
(20,150)
(18,165)
(21,172)
(89,139)
(70,131)
(16,126)
(68,98)
(16,107)
(17,119)
(18,133)
(21,143)
(83,134)
(87,109)
(78,93)
(68,97)
(19,95)
(16,80)
(19,89)
(16,102)
(18,114)
(73,77)
(84,75)
(18,65)
(66,47)
(16,49)
(19,58)
(19,70)
(19,82)
(75,77)
(79,35)
(66,40)
(19,36)
