(593,244)
(597,244)
(601,244)
(605,243)
(608,244)
(612,244)
(615,244)
(618,243)
(622,244)
(625,244)
(629,244)
(634,245)
(637,244)
(587,243)
(587,177)
(582,243)
(582,178)
(578,243)
(579,178)
(575,178)
(553,243)
(557,243)
(561,243)
(564,243)
(568,243)
(571,243)
(573,243)
(572,177)
(568,176)
(565,177)
(561,177)
(557,177)
(552,177)
(549,243)
(548,177)
(544,178)
(543,243)
(540,177)
(539,243)
(537,177)
(534,178)
(534,243)
(529,177)
(529,243)
(525,177)
(523,242)
(521,177)
(518,178)
(519,243)
(513,177)
(509,177)
(513,244)
(505,177)
(508,245)
(501,177)
(497,177)
(504,245)
(500,245)
(496,245)
(476,243)
(479,243)
(483,245)
(487,245)
(491,245)
(493,246)
(492,177)
(489,176)
(485,176)
(482,177)
(478,177)
(474,176)
(469,177)
(473,242)
(469,242)
(465,177)
(462,177)
(464,243)
(459,177)
(456,177)
(460,242)
(452,177)
(456,242)
(448,177)
(451,242)
(445,177)
(446,242)
(441,176)
(436,176)
(441,242)
(431,177)
(437,242)
(427,176)
(432,242)
(423,176)
(428,242)
(418,176)
(423,242)
(418,242)
(414,176)
(398,242)
(401,242)
(406,242)
(409,242)
(413,242)
(412,175)
(409,175)
(406,176)
(402,176)
(399,176)
(395,176)
(390,176)
(387,176)
(395,242)
(381,176)
(377,177)
(374,176)
(370,176)
(366,176)
(363,176)
(359,176)
(354,176)
(350,176)
(357,240)
(347,176)
(342,176)
(338,177)
(350,241)
(346,241)
(338,181)
(341,241)
(337,241)
(326,241)
(329,241)
(333,241)
(334,173)
(323,241)
(297,177)
(317,241)
(316,241)
(291,176)
(311,241)
(286,175)
(307,241)
(303,241)
(283,176)
(299,241)
(278,176)
(294,241)
(291,241)
(273,176)
(270,176)
(287,241)
(282,241)
(265,176)
(263,176)
(278,241)
(258,176)
(273,241)
(254,175)
(236,240)
(252,174)
(249,175)
(246,175)
(243,175)
(239,175)
(235,175)
(231,175)
(226,175)
(224,175)
(219,175)
(230,241)
(215,176)
(224,240)
(237,225)
(236,244)
(211,175)
(220,241)
(207,175)
(215,241)
(203,175)
(210,241)
(199,175)
(206,241)
(195,175)
(201,241)
(191,175)
(196,241)
(187,175)
(184,175)
(191,241)
(180,175)
(186,241)
(176,176)
(181,241)
(176,241)
(164,237)
(165,241)
(168,241)
(172,241)
(174,241)
(172,175)
(169,175)
(165,175)
(162,174)
(158,175)
(154,174)
(149,175)
(158,242)
(144,175)
(153,243)
(141,176)
(149,243)
(137,176)
(133,176)
(143,243)
(139,243)
(128,175)
(135,243)
(124,175)
(120,176)
(124,241)
(129,243)
(120,240)
(115,175)
(116,241)
(111,175)
(128,227)
(111,241)
(106,175)
(103,175)
(107,240)
(99,175)
(103,241)
(96,175)
(98,241)
(76,242)
(80,241)
(83,241)
(87,241)
(91,240)
(93,240)
(92,175)
(88,175)
(86,176)
(72,241)
(67,241)
(64,240)
(60,240)
(56,240)
(20,182)
(17,190)
(19,177)
(17,186)
(16,197)
(17,199)
(17,202)
(21,146)
(21,150)
(21,155)
(21,158)
(21,162)
(20,165)
(21,168)
(20,171)
(87,167)
(88,163)
(87,159)
(87,156)
(71,137)
(68,138)
(22,141)
(86,151)
(78,137)
(22,136)
(87,148)
(87,144)
(19,130)
(87,140)
(19,124)
(69,134)
(19,117)
(85,125)
(21,131)
(85,121)
(19,111)
(86,128)
(85,118)
(19,106)
(62,131)
(68,95)
(19,100)
(60,128)
(85,112)
(73,96)
(21,95)
(85,108)
(78,96)
(85,104)
(85,100)
(19,108)
(19,102)
(85,95)
(71,126)
(19,94)
(70,92)
(86,93)
(36,94)
(21,62)
(22,66)
(22,71)
(21,74)
(21,77)
(21,80)
(21,83)
(20,86)
(21,89)
(20,90)
(70,90)
(86,86)
(85,82)
(85,80)
(58,88)
(19,91)
(84,88)
(85,74)
(21,51)
(18,91)
(67,48)
(68,45)
(22,44)
(22,53)
(85,67)
(76,47)
(22,37)
(85,63)
(69,41)
(85,59)
(21,28)
